Model Type,Context Size,Dimensionality,Accuracy,Precision,Recall,F1 Score
Doc2Vec,5,100,0.651,0.677,0.65,0.65
Doc2Vec,5,150,0.657,0.685,0.66,0.65
Doc2Vec,5,200,0.663,0.674,0.66,0.66
Doc2Vec,5,250,0.671,0.687,0.67,0.67
Doc2Vec,5,300,0.678,0.684,0.68,0.68
Doc2Vec,5,400,0.666,0.683,0.67,0.66
Doc2Vec,5,500,0.680,0.691,0.68,0.68
Doc2Vec,5,600,0.658,0.691,0.66,0.65
Doc2Vec,6,100,0.672,0.682,0.67,0.67
Doc2Vec,6,150,0.662,0.672,0.66,0.66
Doc2Vec,6,200,0.636,0.683,0.64,0.64
Doc2Vec,6,250,0.662,0.685,0.66,0.66
Doc2Vec,6,300,0.649,0.681,0.65,0.65
Doc2Vec,6,400,0.675,0.685,0.68,0.67
Doc2Vec,6,500,0.669,0.679,0.67,0.67
Doc2Vec,6,600,0.684,0.685,0.68,0.68
Doc2Vec,8,100,0.671,0.683,0.67,0.67
Doc2Vec,8,150,0.665,0.683,0.66,0.66
Doc2Vec,8,200,0.655,0.688,0.66,0.65
Doc2Vec,8,250,0.663,0.688,0.66,0.66
Doc2Vec,8,300,0.675,0.673,0.68,0.67
Doc2Vec,8,400,0.677,0.683,0.68,0.67
Doc2Vec,8,500,0.663,0.676,0.66,0.66
Doc2Vec,8,600,0.675,0.679,0.68,0.68
Doc2Vec,10,100,0.667,0.677,0.67,0.66
Doc2Vec,10,150,0.632,0.687,0.63,0.62
Doc2Vec,10,200,0.664,0.678,0.66,0.66
Doc2Vec,10,250,0.651,0.678,0.65,0.65
Doc2Vec,10,300,0.666,0.679,0.67,0.66
Doc2Vec,10,400,0.666,0.688,0.67,0.66
Doc2Vec,10,500,0.682,0.683,0.68,0.68
Doc2Vec,10,600,0.672,0.683,0.67,0.67
Doc2Vec,12,100,0.647,0.675,0.65,0.65
Doc2Vec,12,150,0.668,0.689,0.67,0.66
Doc2Vec,12,200,0.673,0.679,0.67,0.67
Doc2Vec,12,250,0.671,0.677,0.67,0.67
Doc2Vec,12,300,0.655,0.686,0.65,0.65
Doc2Vec,12,400,0.677,0.677,0.68,0.68
Doc2Vec,12,500,0.659,0.683,0.66,0.65
Doc2Vec,12,600,0.661,0.684,0.66,0.66
Doc2Vec,15,100,0.637,0.683,0.64,0.64
Doc2Vec,15,200,0.648,0.671,0.65,0.65
Doc2Vec,15,250,0.651,0.674,0.65,0.65
Doc2Vec,15,400,0.672,0.684,0.67,0.67
Doc2Vec,15,500,0.657,0.678,0.66,0.66
Doc2Vec,15,600,0.649,0.685,0.65,0.64
