movies_0,news_1,nfl_2,pcmasterrace_3,relationships_4,y,predict
0.594590493378,0.1313995329,0.00591660249891,0.262154672239,0.00593869898388,0,0
3.01181453056e-08,0.999999969882,0.0,0.0,0.0,1,1
,,,,,4,0
0.0,0.88621347521,0.11378652479,0.0,0.0,3,1
0.0,0.0,0.0,0.0,1.0,4,4
0.0,0.0,4.89748140034e-10,0.99999999951,0.0,0,3
3.6287432008e-08,0.00783757783753,0.992162385875,0.0,0.0,2,2
4.45499813561e-07,4.69710080792e-05,0.0,0.999952575689,7.80357821293e-09,3,3
0.0,0.998437145965,7.75689901673e-07,0.00128150881869,0.000280569526808,3,1
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,0.0,0.0,1.0,4,4
0.0,1.0,0.0,0.0,0.0,1,1
0.0,1.0,0.0,0.0,0.0,1,1
1.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,1.95453156013e-15,0.0,1.0,4,4
0.805231265456,0.025624863092,0.169143871452,0.0,0.0,2,0
0.0,0.999997281296,0.0,0.0,2.71870367835e-06,1,1
0.885750930315,0.0979103966035,0.0163386730814,0.0,0.0,3,0
0.0,1.0,0.0,0.0,0.0,1,1
0.974902966742,0.00170729671302,0.0,0.0233815728415,8.16370355375e-06,0,0
0.994123942883,2.11643090821e-05,0.00584720849578,0.0,7.68431204008e-06,0,0
0.0,6.65056409132e-05,0.000169556159539,0.0,0.9997639382,4,4
0.0,1.0,0.0,0.0,0.0,1,1
0.0,1.0,0.0,0.0,1.68732629168e-14,1,1
0.0,0.0,0.0,0.0,1.0,4,4
0.0,0.0,1.0,0.0,0.0,2,2
,,,,,0,0
0.0,1.0,0.0,0.0,0.0,0,1
,,,,,1,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,0.0,0.0,1.0,4,4
,,,,,0,0
0.0,0.0,0.0,0.0,1.0,4,4
0.0,0.0,0.0,0.0,1.0,1,4
,,,,,2,0
0.00213947739929,0.361724306477,0.542996622002,0.0896377864869,0.00350180763474,3,2
,,,,,0,0
,,,,,0,0
1.0,0.0,0.0,0.0,4.87830750534e-22,4,0
0.000159740843057,0.454257618359,0.000453462160622,0.0,0.545129178637,4,4
0.0992333651138,0.605012199611,0.289091934673,0.0,0.00666250060232,2,1
0.0133485937875,0.61305632826,0.044290253317,0.308405655478,0.0208991691569,0,1
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.000166493827809,0.999833493114,0.0,1.30581465943e-08,2,2
1.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,1.0,0.0,0.0,2,2
0.169040439001,0.190618424174,0.0,0.0,0.640341136825,2,4
1.0,0.0,0.0,0.0,0.0,0,0
,,,,,2,0
,,,,,1,0
0.738336435444,0.00385439111332,0.0219780721964,0.130664003999,0.105167097246,0,0
0.0,0.0,0.0,0.0,1.0,4,4
0.0,1.0,0.0,0.0,0.0,1,1
,,,,,3,0
,,,,,4,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.481299754191,0.518700245809,0.0,0.0,4,2
,,,,,0,0
1.0,0.0,0.0,0.0,0.0,0,0
0.986724061617,0.0,0.0132759383833,0.0,0.0,0,0
,,,,,0,0
0.000196875021749,0.864542098747,0.135261026231,0.0,0.0,3,1
,,,,,2,0
0.0986529998314,0.165443130858,0.210749282272,0.525154587039,0.0,3,3
0.0,0.0,0.0,1.0,0.0,3,3
4.37252752978e-06,1.47251384338e-06,4.20607283997e-12,0.0,0.999994154954,4,4
0.999992274267,2.17666029605e-06,7.37389119499e-11,5.54899285994e-06,6.28409255075e-12,3,0
0.0,0.0196091842071,0.980390809111,0.0,6.68181376124e-09,3,2
0.474569952952,0.52542789678,0.0,0.0,2.15026872656e-06,0,1
0.0880967724313,0.71254764584,0.0199141633382,0.0103504672834,0.169090951107,1,1
0.0,1.0,0.0,0.0,0.0,4,1
0.0,0.0,0.998777473567,0.0,0.00122252643299,4,2
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,8.27373635655e-21,0.0,1.0,4,4
,,,,,0,0
0.0,0.0,0.0,0.0,1.0,4,4
0.998520577577,1.75720140412e-05,0.00014496965267,0.000629012213883,0.000687868542853,3,0
0.0,0.999990863471,0.0,0.0,9.13652870962e-06,4,1
1.52624935735e-06,0.999994661246,3.69389178678e-06,0.0,1.1861262833e-07,1,1
0.0,0.999438014511,0.000561985489356,0.0,0.0,1,1
1.38307629025e-08,1.45251481544e-08,0.999999971644,0.0,0.0,2,2
0.0,0.0,0.0,1.0,0.0,3,3
1.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,1.0,0.0,3,3
0.0120578218311,0.242441280212,0.156770098249,0.421014104537,0.167716695171,4,3
0.0,1.0,0.0,0.0,0.0,1,1
0.968240823386,0.0317591766143,0.0,0.0,0.0,0,0
0.0,0.995746813349,0.00425318665138,0.0,0.0,1,1
0.0,0.0,0.0,0.0,1.0,4,4
0.0,0.842521240346,0.0,0.0,0.157478759654,1,1
,,,,,4,0
,,,,,3,0
0.0,0.000866724040856,0.0,0.0,0.999133275959,4,4
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.000891952070214,0.000785088270932,0.998275119297,4.7840361858e-05,3,3
0.00536536560773,0.0308113012023,0.0189323690262,0.944890964164,0.0,3,3
0.0,4.88972815453e-17,0.0,0.0,1.0,4,4
0.216382663815,0.0370313640724,0.715328573732,0.031257398381,0.0,0,2
0.0,0.0,1.0,0.0,0.0,0,2
0.0,0.0,1.54364119699e-05,0.999984563588,0.0,3,3
0.0140707100403,0.00159396780009,0.0617829407516,0.882427585325,0.040124796083,2,3
0.0,2.93644357786e-18,1.0,0.0,0.0,2,2
0.463370164103,0.0432402527363,0.469981216355,0.0,0.0234083668061,3,2
0.0,0.0,0.0,0.0,1.0,4,4
0.0,1.0,0.0,0.0,0.0,4,1
0.0,0.0,0.0,1.0,0.0,3,3
1.0,0.0,0.0,0.0,0.0,0,0
,,,,,2,0
0.0,1.0,0.0,0.0,0.0,1,1
9.04812626441e-08,7.33462810931e-09,1.97012862124e-18,0.0,0.999999902184,4,4
0.999999999996,0.0,4.48336214499e-12,0.0,0.0,0,0
0.0,0.0,0.0,0.0,1.0,1,4
,,,,,0,0
,,,,,0,0
0.979898507486,0.00243546079381,0.00721826329925,0.010447768421,0.0,3,0
1.0,0.0,0.0,0.0,0.0,0,0
,,,,,0,0
0.0,0.0,0.998032420164,0.00194629858221,2.12812537712e-05,2,2
0.392464709849,5.80296056054e-05,0.607477260545,0.0,0.0,0,2
0.16726516143,0.0258073943391,0.119797810949,0.686727255168,0.000402378114253,1,3
0.0,0.999999999864,0.0,0.0,1.3580823289e-10,1,1
0.580176365645,0.163119950291,0.0456660926123,0.0359181213091,0.175119470142,0,0
0.0,1.4868957245e-06,0.999998513104,0.0,1.27369349832e-13,2,2
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,0.0,0.0,1.0,4,4
,,,,,0,0
,,,,,2,0
0.0199496873709,2.7168566235e-06,0.000535947467539,0.979511648305,0.0,3,3
0.0,0.0,0.0,1.0,0.0,3,3
,,,,,4,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,1.0,0.0,0.0,0.0,3,1
0.154053649057,0.22995351737,0.29983580253,0.219157270072,0.0969997609713,2,2
0.0,0.0,6.98703604036e-07,0.999999301296,0.0,3,3
0.0,1.0,0.0,0.0,0.0,1,1
0.0,0.0,1.0,0.0,0.0,0,2
0.0,0.0622744802612,0.000855452350747,0.0,0.936870067388,2,4
0.01702125397,0.527426958716,0.0599063517132,0.388458471453,0.00718696414799,3,1
,,,,,1,0
0.981721145112,0.000610059228424,0.000979620230711,0.0166402773872,4.88980418049e-05,0,0
0.0,0.0,1.0,0.0,0.0,1,2
0.0,0.0,0.0,1.0,0.0,3,3
0.999573393522,0.00027542234288,0.0001510479964,0.0,1.36138581418e-07,0,0
0.0,0.0,0.0,0.0,1.0,1,4
0.999956007461,2.70904652237e-05,1.68860498115e-05,0.0,1.60242994015e-08,2,0
0.991841813345,9.92374431839e-06,0.00813780308521,0.0,1.04598256411e-05,0,0
,,,,,3,0
,,,,,3,0
0.0,1.0,0.0,0.0,0.0,1,1
0.0,1.23140184316e-21,1.0,0.0,0.0,2,2
0.0,0.312475566908,0.0,0.0,0.687524433092,0,4
0.0,1.16388304007e-19,1.0,0.0,0.0,2,2
0.00131612109235,8.9645481351e-05,0.0204375390609,0.0,0.978156694365,4,4
6.85652548246e-05,8.88779396371e-08,0.00144276667616,7.19596095578e-13,0.99848857919,2,4
0.0,0.0,1.0,0.0,0.0,2,2
0.0,1.0,9.03623932736e-16,0.0,0.0,1,1
0.0,0.0,1.0,0.0,0.0,2,2
0.0,1.0,0.0,0.0,0.0,4,1
1.0,0.0,0.0,0.0,0.0,0,0
0.756491462375,0.126169358693,0.0,0.11351916337,0.00382001556159,0,0
0.999081265156,7.99090451374e-05,0.000607341668993,0.000212262408674,1.92217216582e-05,0,0
0.0,0.0,1.0,0.0,0.0,2,2
,,,,,4,0
0.0,0.0,0.0,0.0,1.0,1,4
0.0,0.0,1.0,0.0,0.0,2,2
0.999965283105,3.47168946056e-05,0.0,0.0,0.0,0,0
0.999988469236,3.59202604163e-06,6.56115862427e-06,0.0,1.37757977024e-06,0,0
0.559112236706,0.0660984711244,0.0799503827775,0.286113514377,0.00872539501443,0,0
0.0,0.0,0.0,0.0,1.0,4,4
0.13843085649,0.247178473365,0.306211806159,0.161830942233,0.146347921752,3,2
0.0,1.0,0.0,0.0,0.0,1,1
0.00146995158103,0.0,0.0,0.998530048419,0.0,3,3
0.0,0.000753037461581,5.917156473e-09,0.0,0.999246956621,4,4
0.0,0.0,0.0,0.0,1.0,4,4
0.999999993049,6.95087198285e-09,0.0,0.0,1.18053368677e-13,0,0
0.000801952760833,0.999197882809,1.64430190769e-07,0.0,0.0,1,1
,,,,,3,0
0.0,5.48053528232e-06,2.8920351213e-05,0.999965599114,0.0,2,3
0.0,0.0,1.0,0.0,0.0,2,2
0.918224745418,0.050526932277,0.0143259525366,0.0167764479535,0.000145921814681,0,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,1.0,0.0,0.0,0.0,1,1
0.0,0.0,1.0,0.0,0.0,2,2
,,,,,2,0
,,,,,4,0
0.0,1.0,0.0,0.0,1.17037715427e-16,1,1
0.0167902158667,0.0990289632261,0.730255859211,0.15278887308,0.0011360886168,2,2
0.0,0.674240858088,0.325758686582,0.0,4.55330184103e-07,1,1
,,,,,1,0
1.0,0.0,0.0,0.0,0.0,0,0
0.341572463472,0.640639095628,0.0177884408994,0.0,0.0,0,1
0.464433996434,0.439333346358,9.16517447362e-06,0.0,0.0962234920334,1,0
,,,,,2,0
2.89359855502e-06,0.99999565157,1.66160031597e-07,5.37616936111e-08,1.23490968351e-06,1,1
0.0,0.0,6.91893982314e-10,0.0,0.999999999308,1,4
0.0,3.02851659518e-16,6.12871157702e-13,0.999999999999,0.0,3,3
0.166769414338,0.217017997415,0.330076066421,0.162192999901,0.123943521925,3,2
3.97265275243e-05,0.0,1.8002887054e-05,0.998802519495,0.00113975108993,3,3
0.162075338975,0.177047779911,0.285640701893,0.146766162363,0.228470016857,3,2
0.0,1.56267838131e-05,0.0,0.999974154394,1.02188223717e-05,3,3
0.0,0.55865566383,0.44134433617,0.0,0.0,2,1
1.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.999101045573,0.000898954427291,0.0,0.0,1,1
0.13131600923,0.0621540991108,0.158102064202,0.647373987559,0.0010538398973,3,3
0.0,5.83320015797e-07,5.55821997016e-05,0.999943833349,1.13161159783e-09,3,3
,,,,,0,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.999999744137,1.77591677872e-08,2.31662382831e-07,6.44154500371e-09,1,1
0.0,0.0,0.0,0.0,1.0,4,4
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0800629546431,0.120666281163,0.798787848296,0.000482915897672,1,3
,,,,,3,0
0.0,0.0,0.0,1.0,0.0,3,3
0.135625829376,0.86275860748,0.000202739562276,0.00141282358196,0.0,1,1
0.0,1.0,0.0,0.0,0.0,1,1
0.0,0.0,1.0,0.0,0.0,0,2
0.0,0.0,1.0,0.0,0.0,2,2
0.652643871608,0.000249937553975,0.342196529742,0.00490965907097,2.02478823697e-09,3,0
0.999993657821,0.0,0.0,6.34217883914e-06,0.0,3,0
0.0,0.0,1.0,0.0,0.0,2,2
0.0,0.0,1.0,0.0,0.0,2,2
,,,,,4,0
0.0,0.0,0.0,0.0,1.0,4,4
0.0733991090915,0.446154000555,0.296975227406,0.153362134844,0.0301095281031,2,1
4.28373294649e-06,1.95640940678e-07,0.999995520626,0.0,0.0,2,2
0.0,1.0,0.0,0.0,0.0,3,1
0.0,1.0,0.0,0.0,0.0,4,1
0.0,1.0,0.0,0.0,0.0,0,1
0.0,0.0,0.0,0.0,1.0,1,4
0.0,1.0,0.0,0.0,0.0,0,1
,,,,,3,0
,,,,,4,0
0.0,0.999999999652,3.47908332487e-10,0.0,0.0,1,1
0.0,0.0,0.0,0.829486244943,0.170513755057,3,3
0.0,1.34870009854e-05,0.0,0.999986512999,0.0,1,3
,,,,,0,0
0.0,0.0,0.0,0.0,1.0,4,4
0.0,0.0,0.0,0.0,1.0,4,4
0.0,1.0,0.0,0.0,0.0,1,1
0.0,0.0136191919965,0.986380808004,0.0,0.0,2,2
0.999999995022,4.97783959727e-09,0.0,0.0,0.0,0,0
,,,,,4,0
0.0,0.0,0.0,1.0,0.0,3,3
0.063587788789,0.246762617472,0.00405788479904,0.685587750951,3.95798886917e-06,3,3
